type,serial,LS
 Soyuz-U,A15000-649,Ba LC-1/5
 Soyuz-U,K15000-668,Ba LC-1/5
 Soyuz-U,76023-462,Ba LC-31/6
 Soyuz-U,K15000-085,Ba LC-1/5
 Soyuz-U,A15000-666,Ba LC-1/5
 Soyuz-U,K15000-671,Ba LC-1/5
 Soyuz-U,K15000-673,Ba LC-1/5
 Soyuz-U,K15000-670,Ba LC-1/5
 Soyuz-U,K15000-674,Ba LC-1/5
 Soyuz-U,77023-841,Pl LC-43/4
 Soyuz-U,M15000-065,Ba LC-1/5
 Soyuz-U,F15000-677,Ba LC-1/5
 Soyuz-U,F15000-672,Ba LC-1/5
 Soyuz-U,77082-842,Pl LC-43/3
 Soyuz-U,F15000-678,Ba LC-1/5
 Soyuz-U,F15000-675,Ba LC-1/5
 Soyuz-U,E15000-679,Ba LC-1/5
 Soyuz-U,A15000-066,Pl LC-43/3
 Soyuz-U,E15000-680,Ba LC-1/5
 Soyuz-U,D15000-681,Ba LC-1/5
 Soyuz-U,77082-575,Ba LC-31/6
 Soyuz-U,D15000-682,Ba LC-1/5
 Soyuz-U,D15000-683,Ba LC-1/5
 Soyuz-U,D15000-684,Ba LC-1/5
 Soyuz-U,D15000-685,Ba LC-1/5
 Soyuz-U,78036-844,Pl LC-16/2
 Soyuz-U,Zh15000-092,Ba LC-1/5
 Soyuz-U,Zh15000-093,Ba LC-1/5
 Soyuz-U,Zh15000-091,Ba LC-1/5
 Soyuz-U,Zh15000-094,Ba LC-1/5
 Soyuz-U,78036-576,Ba LC-31/6
 Soyuz-U,Ts15000-095,Ba LC-1/5
 Soyuz-U,F15000-080,Ba LC-1/5
 Soyuz-U,P15000-100,Ba LC-1/5
 Soyuz-U,78031-800,Pl LC-16/2
 Soyuz-U,Zh15000-101,Ba LC-1/5
 Soyuz-U,78041-490,Ba LC-31/6
 Soyuz-U,Ts15000-102,Ba LC-1/5
 Soyuz-U,Ts15000-107,Ba LC-1/5
 Soyuz-U,Ts15000-104,Ba LC-1/5
 Soyuz-U,76033-137,Pl LC-16/2
 Soyuz-U,Ts15000-108,Ba LC-1/5
 Soyuz-U,Ts15000-098,Ba LC-1/5
 Soyuz-U,Sh15000-109,Ba LC-1/5
 Soyuz-U,Ts15000-106,Ba LC-1/5
 Soyuz-U,Sh15000-110,Ba LC-1/5
 Soyuz-U,Sh15000-111,Ba LC-1/5
 Soyuz-U,77057-146,Pl LC-16/2
 Soyuz-U,Sh15000-114,Ba LC-1/5
 Soyuz-U,Yu15000-115,Ba LC-31/6
 Soyuz-U,78075-152,Pl LC-16/2
 Soyuz-U,Yu15000-112,Ba LC-1/5
 Soyuz-U,Yu15000-120,Ba LC-1/5
 Soyuz-U,B15000-121,Ba LC-1/5
 Soyuz-U,76043-811,Pl LC-16/2
 Soyuz-U,Yu15000-117,Ba LC-1/5
 Soyuz-U,76029 169,Pl LC-16/2
 Soyuz-U,B15000-118,Ba LC-1/5
 Soyuz-U,B15000-119,Ba LC-1/5
 Soyuz-U,B15000-122,Ba LC-31/6
 Soyuz-U,I15000-123,Ba LC-1/5
 Soyuz-U,I15000-126,Ba LC-1/5
 Soyuz-U,Yu15000-116,Ba LC-1/5
 Soyuz-U,I15000-128,Ba LC-1/5
 Soyuz-U,76012-222,Pl LC-16/2
 Soyuz-U,L15000-132,Ba LC-1/5
 Soyuz-U,I15000-129,Ba LC-1/5
 Soyuz-U,I15000-127,Ba LC-1/5
 Soyuz-U,L15000-135,Ba LC-31/6
 Soyuz-U,78031-229,Pl LC-16/2
 Soyuz-U,L15000-134,Ba LC-1/5
 Soyuz-U,L15000-136,Ba LC-1/5
 Soyuz-U,L15000-137,Ba LC-1/5
 Soyuz-U,L15000-138,Ba LC-1/5
 Soyuz-U,L15000-130,Ba LC-31/6
 Soyuz-U,E15000-133,Ba LC-31/6
 Soyuz-U,E15000-139,Ba LC-1/5
 Soyuz-U,T15000-141,Ba LC-1/5
 Soyuz-U,E15000-143,Ba LC-31/6
 Soyuz-U,T15000-140,Ba LC-1/5
 Soyuz-U,T15000-144,Ba LC-1/5
 Soyuz-U,T15000-142,Ba LC-1/5
 Soyuz-U,G15000-146,Ba LC-1/5
 Soyuz-U,G15000-147,Ba LC-31/6
 Soyuz-U,R15000-148,Ba LC-1/5
 Soyuz-U,T15000-145,Ba LC-1/5
 Delta-1913,581/D-95,CC LC-17B
 Atlas-SLV3D Centaur-D1A,AC- 31,CC LC-36A
 Atlas-SLV3D Centaur-D1A,AC- 34,CC LC-36B
 Atlas-SLV3D Centaur-D1A,AC- 32,CC LC-36B
 Atlas-SLV3D Centaur-D1A,AC- 35,CC LC-36A
 Delta-1900,585/D-99,Va SLC-2W
Delta-2313,591/D-105,CC LC-17B
Delta-2313,615/D-133,CC LC-17B
Titan-3E Centaur-D1T,3E-4/ TC-4,CC LC-41
Titan-3E Centaur-D1T,3E-3/ TC-3,CC LC-41
Titan-3E Centaur-D1T,3E-7/ TC-7,CC LC-41
Titan-3E Centaur-D1T,3E-6/ TC-6,CC LC-41
 Proton-K Blok-DM,282-01,Ba LC-81/23
 Proton-K Blok-DM,287-01,Ba LC-81/24
 Proton-K Blok-DM,286-02,Ba LC-81/23
 Proton-K Blok-DM,288-01,Ba LC-81/24
 Proton-K Blok-DM,289-01,Ba LC-81/24
 Proton-K Blok-DM,290-01,Ba LC-81/24
 Proton-K Blok-DM,291-01,Ba LC-200/40
 Proton-K Blok-DM,291-02,Ba LC-200/40
 Proton-K Blok-DM,294-02,Ba LC-200/40
 Proton-K Blok-DM,292-02,Ba LC-200/40
 Proton-K Blok-DM,297-02,Ba LC-200/40
 Proton-K Blok-DM,298-01,Ba LC-200/40
 Proton-K Blok-DM,295-02,Ba LC-200/40
 Proton-K Blok-DM,294-01,Ba LC-200/40
 Proton-K Blok-DM,298-02,Ba LC-200/40
 Proton-K Blok-DM,299-01,Ba LC-200/40
 Proton-K Blok-DM,302-02,Ba LC-200/40
 Proton-K Blok-DM,303-01,Ba LC-200/40
 Proton-K Blok-DM,297-01,Ba LC-200/39
 Proton-K Blok-DM,303-02,Ba LC-200/39
 Proton-K Blok-DM,301-01,Ba LC-200/40
 Proton-K Blok-DM,300-02,Ba LC-200/39
 Proton-K Blok-DM,304-01,Ba LC-200/40
 Proton-K Blok-DM,306-01,Ba LC-200/40
 Proton-K Blok-DM,305-01,Ba LC-200/40
 Proton-K Blok-DM,301-02,Ba LC-200/39
 Proton-K Blok-DM,310-01,Ba LC-200/39
 Proton-K Blok-DM,308-01,Ba LC-200/40
 Proton-K Blok-DM,305-02,Ba LC-200/39
 Proton-K Blok-DM,310-02,Ba LC-200/39
 Proton-K Blok-DM,307-02,Ba LC-200/40
 Proton-K Blok-DM,309-01,Ba LC-200/40
 Proton-K Blok-DM,312-01,Ba LC-200/40
 Proton-K Blok-DM,313-01,Ba LC-200/39
 Proton-K Blok-DM,314-01,Ba LC-200/39
 Proton-K Blok-DM,304-02,Ba LC-200/40
 Proton-K Blok-DM,315-02,Ba LC-200/40
 Proton-K Blok-DM,314-02,Ba LC-200/39
 Proton-K Blok-DM,316-02,Ba LC-200/40
 Proton-K Blok-DM,318-01,Ba LC-200/40
 Proton-K Blok-DM,308-02,Ba LC-200/39
 Proton-K Blok-DM,318-02,Ba LC-200/39
 Proton-K Blok-DM,316-01,Ba LC-200/40
 Proton-K Blok-DM,322-01,Ba LC-200/39
 Proton-K Blok-DM,319-02,Ba LC-200/40
 Proton-K Blok-DM,312-02,Ba LC-200/39
 Proton-K Blok-DM,319-01,Ba LC-200/39
 Proton-K Blok-DM,324-01,Ba LC-200/40
 Proton-K Blok-DM,324-02,Ba LC-200/39
 Proton-K Blok-DM,326-02,Ba LC-200/39
 Proton-K Blok-DM,327-01,Ba LC-200/39
 Proton-K Blok-DM,328-01,Ba LC-200/40
 Proton-K Blok-DM,317-02,Ba LC-200/39
 Proton-K Blok-DM,326-01,Ba LC-200/39
 Proton-K Blok-DM,331-02,Ba LC-200/40
 Proton-K Blok-DM,302-01,Ba LC-200/40
 Proton-K Blok-DM,333-01,Ba LC-200/39
 Proton-K Blok-DM,322-01,Ba LC-200/40
 Proton-K Blok-DM,335-02,Ba LC-200/39
 Proton-K Blok-DM,334-01,Ba LC-200/39
 Proton-K Blok-DM,323-01,Ba LC-200/40
 Proton-K Blok-DM,338-02,Ba LC-200/39
 Proton-K Blok-DM,337-02,Ba LC-200/39
 Proton-K Blok-DM,343-02,Ba LC-200/40
 Proton-K Blok-DM,349-01,Ba LC-200/39
 Proton-K Blok-DM,342-02,Ba LC-200/40
Delta-2914,588/D-101,CC LC-17B
Delta-2914,590/D-102,CC LC-17B
Delta-2914,589/D-103,CC LC-17B
Delta-2914,599/D-106,CC LC-17B
Delta-2914,593/D-108,CC LC-17B
Delta-2914,596/D-110,CC LC-17B
Delta-2914,594/D-114,CC LC-17A
Delta-2914,597/D-116,CC LC-17B
Delta-2914,606/D-119,CC LC-17B
Delta-2914,603/D-120,CC LC-17B
Delta-2914,608/D-122,CC LC-17B
Delta-2914,601/D-124,CC LC-17A
Delta-2914,611/D-125,CC LC-17A
Delta-2914,614/D-127,CC LC-17A
Delta-2914,613/D-128,CC LC-17B
Delta-2914,612/D-129,CC LC-17A
Delta-2914,617/D-130,CC LC-17B
Delta-2914,616/D-131,CC LC-17B
Delta-2914,618/D-132,CC LC-17B
Delta-2914,623/D-135,CC LC-17B
Delta-2914,620/D-136,CC LC-17A
Delta-2914,624/D-137,CC LC-17B
Delta-2914,628/D-138,CC LC-17A
Delta-2914,626/D-140,CC LC-17B
Delta-2914,625/D-142,CC LC-17B
Delta-2914,631/D-143,CC LC-17A
Delta-2914,633/D-144,CC LC-17B
Delta-2914,634/D-146,CC LC-17B
Delta-2914,629/D-148,CC LC-17B
Delta-2914,638/D-149,CC LC-17A
Atlas-F PTS,,Va SLC-3W
 CZ-2A,CZ-2A,Jq LC-2/138
Delta-2310,592/D-104,Va SLC-2W
Delta-2310,605/D-126,Va SLC-2W
Delta-2310,639/D-157,Va SLC-2W
Delta-2910,598/D-107,Va SLC-2W
Delta-2910,595/D-111,Va SLC-2W
Delta-2910,600/D-115,Va SLC-2W
Delta-2910,604/D-117,CC LC-17B
Delta-2910,621/D-139,Va SLC-2W
Delta-2910,630/D-145,Va SLC-2W
 Titan-3(34)B Agena-D,3B-50,Va SLC-4W
 Titan-3(34)B Agena-D,3B-55,Va SLC-4W
 Titan-3(34)B Agena-D,3B-56,Va SLC-4W
 Titan-3(34)B Agena-D,3B-49,Va SLC-4W
 Titan-3(34)B Agena-D,3B-57,Va SLC-4W
 Titan-3(34)B Agena-D,3B-53,Va SLC-4W
 Titan-3(34)B Agena-D,3B-65,Va SLC-4W
 Titan-3(34)B Agena-D,3B-64,Va SLC-4W
 Titan-3(34)B Agena-D,3B-69,Va SLC-4W
 Titan-3(34)B Agena-D,3B-66,Va SLC-4W
Delta-1410,584/D-109,Va SLC-2W
Atlas-F Star-17A,,Va SLC-3W
Delta-1910,586/D-112,CC LC-17B
Delta-2913,602/D-113,Va SLC-2W
Delta-2913,609/D-123,Va SLC-2W
 N-1,N-1,Ta LP-N
 N-1,N-1,Ta LP-N
 N-1,N-1,Ta LP-N
 N-1,N-1,Ta LP-N
 N-1,N-1,Ta LP-N
 N-1,N-1,Ta LP-N
 N-1,N-1,Ta LP-N
 Atlas-SLV3D Centaur-D1AR,AC- 36,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 37,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 38,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 40,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 39,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 45,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 46,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 44,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 48,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 50,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 41,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 51,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 52,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 47,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 53,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 49,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 57,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 54,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 42,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 56,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 55,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 58,CC LC-36A
 Atlas-SLV3D Centaur-D1AR,AC- 60,CC LC-36B
 Atlas-SLV3D Centaur-D1AR,AC- 61,CC LC-36A
Delta-3914,607/D-118,CC LC-17A
Delta-3914,610/D-121,CC LC-17A
Delta-3914,627/D-141,CC LC-17A
Delta-3914,632/D-147,CC LC-17A
Delta-3914,622/D-150,CC LC-17A
Delta-3914,637/D-152,CC LC-17A
Delta-3914,645/D-154,CC LC-17A
Delta-3914,D-168,CC LC-17A
Delta-3914,D-169,Va SLC-2W
Delta-3914,D-177,CC LC-17A
Delta-3914,D-179,CC LC-17A
Atlas-F MSD,,Va SLC-3W
Atlas-F MSD,,Va SLC-3W
Atlas-F MSD,,Va SLC-3W
Atlas-E MSD,,Va SLC-3W
 Thor-LV2F Star-37XE Star-37S-ISS,172,Va SLC-10W
 Thor-LV2F Star-37XE Star-37S-ISS,183,Va SLC-10W
 Thor-LV2F Star-37XE Star-37S-ISS,143,Va SLC-10W
 Thor-LV2F Star-37XE Star-37S-ISS,264,Va SLC-10W
 Thor-LV2F Star-37XE Star-37S-ISS,304,Va SLC-10W
Atlas-F SGS-1,,Va SLC-3W
Atlas-F SGS-1,,Va SLC-3E
Atlas-F SGS-1,,Va SLC-3E
Atlas-F SGS-1,,Va SLC-3E
Atlas-F SGS-1,,Va SLC-3E
Atlas-F SGS-1,,Va SLC-3E
Atlas-F SGS-1,,Va SLC-3E
Atlas-E SGS-1,,Va SLC-3E
Tsiklon-3,,Pl LC-32/1
Tsiklon-3,,Pl LC-32/2
Tsiklon-3,110,Pl LC-32/2
Tsiklon-3,117,Pl LC-32/1
Tsiklon-3,118,Pl LC-32/1
Tsiklon-3,121,Pl LC-32/2
Atlas-F Agena-D,,Va SLC-3W
 Proton-K Blok-D-1,296-01,Ba LC-81/23
 Proton-K Blok-D-1,296-02,Ba LC-81/24
 Proton-K Blok-D-1,311-01,Ba LC-200/40
 Proton-K Blok-D-1,311-02,Ba LC-200/39
 Proton-K Blok-D-1,307-01,Ba LC-200/39
 Proton-K Blok-D-1,321-01,Ba LC-200/39
 Proton-K Blok-D-1,321-02,Ba LC-200/40
 Proton-K Blok-D-1,329-01,Ba LC-200/39
 Proton-K Blok-D-1,325-02,Ba LC-200/40
 Proton-K Blok-D-1,352-01,Ba LC-200/40
Atlas-F Star-37S-ISS,,Va SLC-3W
Atlas-F Star-37S-ISS,,Va SLC-3W
Atlas-F Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-E Star-37S-ISS,,Va SLC-3W
Atlas-F OIS,,Va SLC-3W
Atlas-E OIS,,Va SLC-3W
Ariane-1,L-01,Ko ELA-1
Ariane-1,L-02,
Ariane-1,L-03,Ko ELA-1
Ariane-1,L-04,Ko ELA-1
Ariane-1,L-5,
Ariane-1,L-6,Ko ELA-1
Ariane-1,L-7,Ko ELA-1
Ariane-1,L-8,Ko ELA-1
Ariane-1,V-9,Ko ELA-1
Ariane-1,V-14,Ko ELA-1
Ariane-1,V-16,Ko ELA-1
Delta-3910,635/D-151,CC LC-17A
Delta-3910,650/D-166,Va SLC-2W
Delta-3910,D-181,CC LC-17B
 N-2 Star-37E,N-2 Star-37E,Ta LP-N
 N-2 Star-37E,N-2 Star-37E,Ta LP-N
N-2 Star-37E,N-2 Star-37E,Ta LP-N
N-2 Star-37E,N-2 Star-37E,Ta LP-N
N-2 Star-37E,N-2 Star-37E,Ta LP-N
N-2 Star-37E,N-2 Star-37E,Ta LP-N
N-2 Star-37E,N-2 Star-37E,Ta LP-N
,,KY LC-107
,,KY LC-107
,,KY LC-107
,,KY LC-107
,,KY LC-107
,,KY LC-107
Delta-3920,648/D-163,Va SLC-2W
Delta-3920,D-174,Va SLC-2W
Delta-3920,D-180,CC LC-17B
Delta-3920,D-183,CC LC-17B
 CZ-2C,2C-Y1,Jq LC-2/138
 CZ-2C,2C-Y2,Jq LC-2/138
 CZ-2C,2C-Y3,Jq LC-2/138
 CZ-2C,2C-Y4,Jq LC-2/138
 CZ-2C,2C-Y5,Jq LC-2/138
 CZ-2C,2C-Y6,Jq LC-2/138
 CZ-2C,2C-Y7,Jq LC-2/138
 CZ-2C,2C-Y8,Jq LC-2/138
 CZ-2C,2C-Y9,Jq LC-2/138
 CZ-2C,2C-Y10,Jq LC-2/138
 CZ-2C,2C-Y11,Jq LC-2/138
 Proton-K Blok-DM-2,315-01,Ba LC-200/39
 Proton-K Blok-DM-2,317-01,Ba LC-200/39
 Proton-K Blok-DM-2,320-02,Ba LC-200/40
 Proton-K Blok-DM-2,323-02,Ba LC-200/40
 Proton-K Blok-DM-2,320-01,Ba LC-200/40
 Proton-K Blok-DM-2,327-02,Ba LC-200/39
 Proton-K Blok-DM-2,330-02,Ba LC-200/39
 Proton-K Blok-DM-2,313-02,Ba LC-200/40
 Proton-K Blok-DM-2,332-02,Ba LC-200/40
 Proton-K Blok-DM-2,334-02,Ba LC-200/39
 Proton-K Blok-DM-2,336-01,Ba LC-200/40
 Proton-K Blok-DM-2,341-01,Ba LC-200/40
 Proton-K Blok-DM-2,335-01,Ba LC-200/40
 Proton-K Blok-DM-2,339-02,Ba LC-200/40
 Proton-K Blok-DM-2,328-02,Ba LC-200/39
 Proton-K Blok-DM-2,325-01,Ba LC-200/40
 Proton-K Blok-DM-2,330-01,Ba LC-200/39
 Proton-K Blok-DM-2,343-01,Ba LC-200/40
 Proton-K Blok-DM-2,345-01,Ba LC-200/39
 Proton-K Blok-DM-2,341-02,Ba LC-200/40
 Proton-K Blok-DM-2,346-02,Ba LC-200/39
 Proton-K Blok-DM-2,332-01,Ba LC-200/39
 Proton-K Blok-DM-2,348-01,Ba LC-200/39
 Proton-K Blok-DM-2,351-01,Ba LC-200/39
 Proton-K Blok-DM-2,333-02,Ba LC-200/40
 Proton-K Blok-DM-2,349-02,Ba LC-200/39
 Proton-K Blok-DM-2,339-01,Ba LC-200/39
 Proton-K Blok-DM-2,329-02,Ba LC-200/40
 Proton-K Blok-DM-2,350-02,Ba LC-200/39
 Proton-K Blok-DM-2,351-02,Ba LC-200/40
 Proton-K Blok-DM-2,359-02,Ba LC-200/39
 Proton-K Blok-DM-2,352-02,Ba LC-200/40
 Proton-K Blok-DM-2,355-02,Ba LC-200/39
 Proton-K Blok-DM-2,340-02,Ba LC-200/40
 Proton-K Blok-DM-2,346-01,Ba LC-200/40
 Proton-K Blok-DM-2,344-01,Ba LC-81/23
 Proton-K Blok-DM-2,347-02,Ba LC-200/39
 Proton-K Blok-DM-2,363-02,Ba LC-81/23
 Proton-K Blok-DM-2,350-01,Ba LC-200/40
 Proton-K Blok-DM-2,340-01,Ba LC-200/39
 Proton-K Blok-DM-2,345-02,Ba LC-200/39
 Proton-K Blok-DM-2,370-01,Ba LC-81/23
 Proton-K Blok-DM-2,348-02,Ba LC-200/39
 Proton-K Blok-DM-2,366-02,Ba LC-200/40
 Proton-K Blok-DM-2,361-01,Ba LC-81/23
 Proton-K Blok-DM-2,342-01,Ba LC-200/39
 Proton-K Blok-DM-2,344-02,Ba LC-200/39
 Proton-K Blok-DM-2,360-02,Ba LC-81/23
 Proton-K Blok-DM-2,354-02,Ba LC-200/39
 Proton-K Blok-DM-2,373-01,Ba LC-200/39
 Proton-K Blok-DM-2,353-01,Ba LC-81/23
 Proton-K Blok-DM-2,362-02,Ba LC-200/39
 Proton-K Blok-DM-2,353-02,Ba LC-81/23
 Proton-K Blok-DM-2,355-01,Ba LC-81/23
 Proton-K Blok-DM-2,372-02,Ba LC-81/23
 Proton-K Blok-DM-2,369-01,Ba LC-81/23
 Proton-K Blok-DM-2,371-02,Ba LC-81/23
 Proton-K Blok-DM-2,376-01,Ba LC-81/23
 Proton-K Blok-DM-2,363-01,Ba LC-81/23
 Proton-K Blok-DM-2,372-01,Ba LC-81/23
 Proton-K Blok-DM-2,364-01,Ba LC-81/23
 Proton-K Blok-DM-2,357-02,Ba LC-200/39
 Proton-K Blok-DM-2,362-01,Ba LC-81/23
 Proton-K Blok-DM-2,358-01,Ba LC-81/23
 Proton-K Blok-DM-2,364-02,Ba LC-81/23
 Proton-K Blok-DM-2,359-01,Ba LC-81/23
 Proton-K Blok-DM-2,368-01,Ba LC-81/23
 Proton-K Blok-DM-2,367-01,Ba LC-81/23
 Proton-K Blok-DM-2,375-02,Ba LC-81/23
 Proton-K Blok-DM-2,376-02,Ba LC-81/23
 Proton-K Blok-DM-2,377-01,Ba LC-81/23
 Proton-K Blok-DM-2,357-01,Ba LC-81/23
 Proton-K Blok-DM-2,365-02,Ba LC-81/23
 Proton-K Blok-DM-2,367-02,Ba LC-81/23
 Proton-K Blok-DM-2,381-02,Ba LC-200/39
 Proton-K Blok-DM-2,361-02,Ba LC-81/23
 Proton-K Blok-DM-2,371-01,Ba LC-200/39
 Proton-K Blok-DM-2,373-02,Ba LC-81/23
 Proton-K Blok-DM-2,366-01,Ba LC-81/23
 Proton-K Blok-DM-2,370-02,Ba LC-200/39
 Proton-K Blok-DM-2,374-01,Ba LC-200/39
 Proton-K Blok-DM-2,369-02,Ba LC-200/39
 Proton-K Blok-DM-2,386-01,Ba LC-81/23
 Proton-K Blok-DM-2,384-01,Ba LC-200/39
 Proton-K Blok-DM-2,378-01,Ba LC-200/39
 Proton-K Blok-DM-2,374-02,Ba LC-200/39
 Proton-K Blok-DM-2,383-02,Ba LC-200/39
 Proton-K Blok-DM-2,379-01,Ba LC-200/39
 Proton-K Blok-DM-2,381-01,Ba LC-200/39
 Proton-K Blok-DM-2,384-02,Ba LC-200/39
 Proton-K Blok-DM-2,385-02,Ba LC-200/39
 Proton-K Blok-DM-2,387-01,Ba LC-81/23
 Proton-K Blok-DM-2,386-02,Ba LC-200/39
 Proton-K Blok-DM-2,389-02,Ba LC-200/39
 Proton-K Blok-DM-2,401-02,Ba LC-81/24
 Proton-K Blok-DM-2,393-01,Ba LC-81/24
 Proton-K Blok-DM-2,404-01,Ba LC-81/24
 Proton-K Blok-DM-2,405-01?,Ba LC-81/24
 Proton-K Blok-DM-2,405-02?,Ba LC-81/24
 Proton-K Blok-DM-2,409-01,Ba LC-200/39
 Proton-K Blok-DM-2,410-02,Ba LC-81/24
 Proton-K Blok-DM-2,410-05,Ba LC-81/23
 Proton-K Blok-DM-2,410-09,Ba LC-200/39
 Proton-K Blok-DM-2,410-07,Ba LC-200/39
 Proton-K Blok-DM-2,410-11,Ba LC-81/23
 Proton-K Blok-DM-2,410-15,Ba LC-81/24
 Proton-K Blok-DM-2,410-17,Ba LC-81/24
 Proton-K Blok-DM-2?,410-14,Ba LC-81/24
 Proton-K Blok-DM-2,410-16,Ba LC-81/24
 Proton-K Blok-DM-2,410-18,Ba LC-81/24
Delta-3924,652/D-165,CC LC-17B
Delta-3924,653/D-167,CC LC-17B
Delta-3924,D-172,CC LC-17B
Delta-3924,D-175,CC LC-17A
 Titan-34D IUS,,CC LC-40
 Soyuz-U2,77024-777-002,Ba LC-1/5
 Soyuz-U2,77024-778-001,Ba LC-1/5
 Soyuz-U2,76032-791-003,Ba LC-31/6
 Soyuz-U2,76032-792-004,Ba LC-31/6
 Soyuz-U2,Yu15000-005,Ba LC-31/6
 Soyuz-U2,Yu15000-006,Ba LC-31/6
 Soyuz-U2,B15000-008,Ba LC-1/5
 Shtsh15000-007,,Ba LC-1/5
 Soyuz-U2,B15000-012,Ba LC-1/5
 Soyuz-U2,B15000-010,Ba LC-1/5
 Soyuz-U2,B15000-009,Ba LC-1/5
 Soyuz-U2,B15000-013,Ba LC-1/5
 Soyuz-U2,B15000-011,Ba LC-1/5
 Soyuz-U2,I15000-014,Ba LC-1/5
 Soyuz-U2,I15000-016,Ba LC-1/5
 Soyuz-U2,I15000-015,Ba LC-1/5
 Soyuz-U2,I15000-018,Ba LC-1/5
 Soyuz-U2,I15000-019,Ba LC-1/5
 Soyuz-U2,I15000-017,Ba LC-1/5
 Soyuz-U2,L15000-021,Ba LC-1/5
 Soyuz-U2,L15000-022,Ba LC-1/5
 Soyuz-U2,I15000-020,Ba LC-1/5
 Soyuz-U2,L15000-025,Ba LC-1/5
 Soyuz-U2,L15000-026,Ba LC-1/5
 Soyuz-U2,L15000-023,Ba LC-1/5
 Soyuz-U2,I15000-027,Ba LC-1/5
 Soyuz-U2,L15000-024,Ba LC-1/5
 Soyuz-U2,Ye15000-031,Ba LC-1/5
 Soyuz-U2,Ye15000-030,Ba LC-1/5
 Soyuz-U2,Ye15000-028,Ba LC-1/5
 Soyuz-U2,Ye15000-029,Ba LC-1/5
 Soyuz-U2,Ye15000-032,Ba LC-1/5
 Soyuz-U2,T15000-034,Ba LC-1/5
 Soyuz-U2,T15000-037,Ba LC-1/5
 Soyuz-U2,T15000-036,Ba LC-1/5
 Soyuz-U2,T15000-039,Ba LC-1/5
 Soyuz-U2,T15000-038,Ba LC-1/5
 Soyuz-U2,T15000-040,Ba LC-1/5
 Soyuz-U2,T15000-041,Ba LC-1/5
 Soyuz-U2,G15000-035,Ba LC-1/5
 Soyuz-U2,G15000-043,Ba LC-1/5
 Soyuz-U2,G15000-042,Ba LC-1/5
 Soyuz-U2,G15000-044,Ba LC-1/5
 Soyuz-U2,G15000-047,Ba LC-1/5
 Soyuz-U2,T15000-046,Ba LC-1/5
 Soyuz-U2,G15000-045,Ba LC-1/5
 Soyuz-U2,R15000-047,Ba LC-1/5
 Soyuz-U2,R15000-051,Ba LC-1/5
 Soyuz-U2,R15000-050,Ba LC-1/5
 Soyuz-U2,R15000-052,Ba LC-1/5
 Soyuz-U2,R15000-054,Ba LC-1/5
 Soyuz-U2,G15000-048,Ba LC-1/5
 Soyuz-U2,R15000-055,Ba LC-1/5
 Soyuz-U2,R15000-058,Ba LC-1/5
 Soyuz-U2,R15000-056,Ba LC-1/5
 Soyuz-U2,R15000-059,Ba LC-1/5
 Soyuz-U2,U15000-062,Ba LC-31/6
 Soyuz-U2,R15000-053,Ba LC-1/5
 Soyuz-U2,U15000-064,Ba LC-31/6
 Soyuz-U2,U15000-061,Ba LC-31/6
 Soyuz-U2,U15000-060,Ba LC-1/5
 Soyuz-U2,U15000-068,Ba LC-1/5
 Soyuz-U2,N15000-069,Ba LC-1/5
