type,serial,LS
Ariane-5ECA,VA-208/564,Ko ELA-3
Ariane-5ECA,VA-209/565,Ko ELA-3
Ariane-5ECA,VA-210/566,Ko ELA-3
Ariane-5ECA,VA-211/567,Ko ELA-3
Ariane-5ECA,VA-212/568,Ko ELA-3
Ariane-5ECA,VA-214/569,Ko ELA-3
Ariane-5ECA,VA-215/570,Ko ELA-3
Ariane-5ECA,VA-217/572,Ko ELA-3
Ariane-5ECA,VA-216/571,Ko ELA-3
Ariane-5ECA,VA-218/573,Ko ELA-3
Ariane-5ECA,VA-220/574,Ko ELA-3
Ariane-5ECA,VA-221/575,Ko ELA-3
Ariane-5ECA,VA-222/576,Ko ELA-3
Ariane-5ECA,VA-223/577,Ko ELA-3
Ariane-5ECA,VA-224/578,Ko ELA-3
Ariane-5ECA,VA-225/579,Ko ELA-3
Ariane-5ECA,VA-226/580,Ko ELA-3
Ariane-5ECA,VA-227/581,Ko ELA-3
Ariane-5ECA,VA-228/583,Ko ELA-3
Ariane-5ECA,VA-229/582,Ko ELA-3
Ariane-5ECA,VA-230/584,Ko ELA-3
Ariane-5ECA,VA-232/586,Ko ELA-3
Ariane-5ECA,VA-231/585,Ko ELA-3
Ariane-5ECA,VA-234/587,Ko ELA-3
Ariane-5ECA,VA-235/588,Ko ELA-3
Ariane-5ECA,VA-236/589,Ko ELA-3
Ariane-5ECA,VA-237/590,Ko ELA-3
Ariane-5ECA,VA-238/591,Ko ELA-3
Ariane-5ECA,VA-239/5100,Ko ELA-3
Ariane-5ECA,VA-242/5102,Ko ELA-3
Ariane-5ECA,VA-243/5103,Ko ELA-3
Ariane-5ECA,VA-245/5105,Ko ELA-3
Ariane-5ECA,VA-247/5106,Ko ELA-3
Ariane-5ECA,VA-248/5107,Ko ELA-3
Ariane-5ECA,VA-250/5108,Ko ELA-3
Soyuz-FG Fregat,E15000-005,Ba LC-31/6
Soyuz-FG Fregat,D15000-008,Ba LC-31/6
Soyuz-FG Fregat,Sh15000-011,Ba LC-31/6
Soyuz-FG Fregat,Sh15000-010,Ba LC-31/6
Soyuz-FG Fregat,P15000-015,Ba LC-31/6
Soyuz-FG Fregat,Ts15000-021,SL
Soyuz-FG Fregat,Ts15000-022,SL
Soyuz-FG Fregat,Sh15000-025,SL
Soyuz-FG Fregat,P15000-016,Ba LC-31/6
Soyuz-FG Fregat,B15000-033,SL
Atlas-5(521)¹,AV-003,CC SLC-41
Atlas-5(521)¹,AV-005,CC SLC-41
CZ-2D (2),,TY LC-9
Ariane-5G+,V-158/518,Ko ELA-3
Ariane-5G+,V-163/519,Ko ELA-3
Ariane-5G+,V-165/520,Ko ELA-3
